County,Category,Proportion
Siaya,No treatment,36.3
Kisumu,Use appropriate treatment method,53.9
Kisumu,Boil,22.1
Kisumu,Bleach/chlorine,41.2
Kisumu,Strain through cloth,8.8
Kisumu,Ceramic/sand/other filter,0.5
Kisumu,Solar disinfection,0.0
Kisumu,Stand & settle,0.6
Kisumu,Cover container,0.2
Kisumu,Other,0.2
Kisumu,Don't know,0.1
Kisumu,No treatment,44.3
Homa Bay,Use appropriate treatment method,60.4
Homa Bay,Boil,26.9
Homa Bay,Bleach/chlorine,41.9
Homa Bay,Strain through cloth,14.6
Homa Bay,Ceramic/sand/other filter,0.5
Homa Bay,Solar disinfection,0.3
Homa Bay,Stand & settle,2.9
Homa Bay,Cover container,1.5
Homa Bay,Other,0.0
Homa Bay,Don't know,0.0
Homa Bay,No treatment,33.6
Migori,Use appropriate treatment method,55.7
Migori,Boil,20.2
Migori,Bleach/chlorine,41.5
Migori,Strain through cloth,15.1
Migori,Ceramic/sand/other filter,0.5
Migori,Solar disinfection,0.0
Migori,Stand & settle,3.3
Migori,Cover container,0.9
Migori,Other,0.0
Migori,Don't know,0.0
Migori,No treatment,31.1
Kisii,Use appropriate treatment method,23.3
Kisii,Boil,19.5
Kisii,Bleach/chlorine,3.5
Kisii,Strain through cloth,1.6
Kisii,Ceramic/sand/other filter,1.1
Kisii,Solar disinfection,0.0
Kisii,Stand & settle,11.0
Kisii,Cover container,12.4
Kisii,Other,0.0
Kisii,Don't know,0.2
Kisii,No treatment,64.9
Nyamira,Use appropriate treatment method,38.6
Nyamira,Boil,35.5
Nyamira,Bleach/chlorine,4.0
Nyamira,Strain through cloth,0.4
Nyamira,Ceramic/sand/other filter,1.5
Nyamira,Solar disinfection,0.0
Nyamira,Stand & settle,1.0
Nyamira,Cover container,3.7
Nyamira,Other,0.3
Nyamira,Don't know,0.0
Nyamira,No treatment,59.1
Nairobi,Use appropriate treatment method,36.2
Nairobi,Boil,25.6
Nairobi,Bleach/chlorine,13.8
Nairobi,Strain through cloth,0.5
Nairobi,Ceramic/sand/other filter,1.3
Nairobi,Solar disinfection,0.0
Nairobi,Stand & settle,0.3
Nairobi,Cover container,0.0
Nairobi,Other,0.0
Nairobi,Don't know,0.0
Nairobi,No treatment,63.5
